,0
1648,-602
1649,-320
1650,-645
1651,-322
1652,-684
1653,-314
1654,-720
1655,-318
1656,-752
1657,-327
1658,-788
1659,-325
1660,-823
1661,-342
1662,-846
1663,-359
1664,-879
1665,-374
1666,-906
1667,-398
1668,-927
1669,-416
1670,-963
1671,-427
1672,-986
1673,-446
1674,-1004
1675,-453
1676,-1030
1677,-450
1678,-1043
1679,-454
1680,-1057
1681,-445
1682,-1065
1683,-430
1684,-1058
1685,-419
1686,-1051
1687,-395
1688,-1031
1689,-366
1690,-990
1691,-337
1692,-947
1693,-292
1694,-891
1695,-247
1696,-827
1697,-196
1698,-761
1699,-128
1700,-684
1701,-66
1702,-609
1703,16
1704,-546
1705,93
1706,-485
1707,148
1708,-423
1709,226
1710,-368
1711,293
1712,-322
1713,343
1714,-288
1715,396
1716,-259
1717,427
1718,-229
1719,438
1720,-208
1721,452
1722,-184
1723,443
1724,-156
1725,422
1726,-122
1727,405
1728,-77
1729,374
1730,-23
1731,344
1732,45
1733,323
1734,130
1735,296
1736,220
1737,286
1738,311
1739,285
1740,414
1741,279
1742,523
1743,295
1744,626
1745,313
1746,733
1747,335
1748,829
1749,367
1750,917
1751,391
1752,1001
1753,414
1754,1068
1755,443
1756,1121
1757,458
1758,1171
1759,473
1760,1205
1761,498
1762,1231
1763,505
1764,1253
1765,516
1766,1259
1767,522
1768,1263
1769,514
1770,1263
1771,513
1772,1249
1773,502
1774,1240
1775,484
1776,1223
1777,472
1778,1197
1779,448
1780,1175
1781,412
1782,1137
1783,381
1784,1096
1785,332
1786,1049
1787,276
1788,990
1789,217
1790,929
1791,142
1792,865
1793,67
1794,794
1795,-15
1796,729
1797,-108
1798,659
1799,-179
1800,588
1801,-251
1802,534
1803,-329
1804,485
1805,-386
1806,438
1807,-433
1808,406
1809,-472
1810,382
1811,-490
1812,370
1813,-492
1814,375
1815,-494
1816,386
1817,-469
1818,399
1819,-442
1820,423
1821,-409
1822,444
1823,-360
1824,466
1825,-331
1826,486
1827,-291
1828,490
1829,-253
1830,490
1831,-232
1832,479
1833,-210
1834,448
1835,-198
1836,409
1837,-200
1838,356
1839,-200
1840,287
1841,-209
1842,216
1843,-226
1844,135
1845,-229
1846,44
1847,-247
1848,-41
1849,-260
1850,-135
1851,-258
1852,-221
1853,-263
1854,-302
1855,-257
1856,-392
1857,-240
1858,-464
1859,-228
1860,-531
1861,-199
